p,algo,modelo_desc,tasa_pesada
3,adc,adulto ~ long.diametro + long.altura + peso.viscera,0.7761551352645439
3,adc,adulto ~ long.diametro + peso.desenvainado + peso.caparazon,0.7756763227196553
3,adc,adulto ~ long.diametro + peso.desenvainado + peso.viscera,0.7747186976298779
3,adc,adulto ~ long.diametro + peso.total + peso.caparazon,0.779746229351209
3,adc,adulto ~ long.diametro + peso.total + peso.desenvainado,0.7835767297103184
3,adc,adulto ~ long.diametro + peso.total + peso.viscera,0.781900885803208
3,adc,adulto ~ long.diametro + peso.viscera + peso.caparazon,0.7785491979889874
3,adc,adulto ~ long.largo + long.altura + peso.caparazon,0.7692123533636581
3,adc,adulto ~ long.largo + long.altura + peso.desenvainado,0.7740004788125449
3,adc,adulto ~ long.largo + long.altura + peso.total,0.7857313861623174
3,adc,adulto ~ long.largo + long.altura + peso.viscera,0.7735216662676562
3,adc,adulto ~ long.largo + long.diametro + long.altura,0.7929135743356476
3,adc,adulto ~ long.largo + long.diametro + peso.caparazon,0.7857313861623174
3,adc,adulto ~ long.largo + long.diametro + peso.desenvainado,0.7890830739765382
3,adc,adulto ~ long.largo + long.diametro + peso.total,0.7957864496049797
3,adc,adulto ~ long.largo + long.diametro + peso.viscera,0.7898012927938712
3,adc,adulto ~ long.largo + peso.desenvainado + peso.caparazon,0.7807038544409863
3,adc,adulto ~ long.largo + peso.desenvainado + peso.viscera,0.7785491979889874
3,adc,adulto ~ long.largo + peso.total + peso.caparazon,0.7854919798898731
3,adc,adulto ~ long.largo + peso.total + peso.desenvainado,0.7895618865214269
3,adc,adulto ~ long.largo + peso.total + peso.viscera,0.7821402920756524
3,adc,adulto ~ long.largo + peso.viscera + peso.caparazon,0.7778309791716543
3,adc,adulto ~ peso.desenvainado + peso.viscera + peso.caparazon,0.7821402920756524
3,adc,adulto ~ peso.total + peso.desenvainado + peso.caparazon,0.7802250418960976
3,adc,adulto ~ peso.total + peso.desenvainado + peso.viscera,0.7826191046205411
3,adc,adulto ~ peso.total + peso.viscera + peso.caparazon,0.7823796983480967
3,adl,adulto ~ anillos + long.altura + peso.caparazon,0.8063203255925305
3,adl,adulto ~ anillos + long.altura + peso.desenvainado,0.8084749820445296
3,adl,adulto ~ anillos + long.altura + peso.total,0.8103902322240842
3,adl,adulto ~ anillos + long.altura + peso.viscera,0.8135025137658607
3,adl,adulto ~ anillos + long.diametro + long.altura,0.8015322001436438
3,adl,adulto ~ anillos + long.diametro + peso.caparazon,0.7993775436916447
3,adl,adulto ~ anillos + long.diametro + peso.desenvainado,0.7998563562365334
3,adl,adulto ~ anillos + long.diametro + peso.total,0.799616949964089
3,adl,adulto ~ anillos + long.diametro + peso.viscera,0.8046444816854201
3,adl,adulto ~ anillos + long.largo + long.altura,0.8012927938711994
3,adl,adulto ~ anillos + long.largo + long.diametro,0.7984199186018673
3,adl,adulto ~ anillos + long.largo + peso.caparazon,0.798898731146756
3,adl,adulto ~ anillos + long.largo + peso.desenvainado,0.7979411060569787
3,adl,adulto ~ anillos + long.largo + peso.total,0.8003351687814221
3,adl,adulto ~ anillos + long.largo + peso.viscera,0.8039262628680871
3,adl,adulto ~ anillos + peso.desenvainado + peso.caparazon,0.8077567632271966
3,adl,adulto ~ anillos + peso.desenvainado + peso.viscera,0.8132631074934163
3,adl,adulto ~ anillos + peso.total + peso.caparazon,0.813741920038305
3,adl,adulto ~ anillos + peso.total + peso.desenvainado,0.8111084510414173
3,adl,adulto ~ anillos + peso.total + peso.viscera,0.8125448886760833
3,adl,adulto ~ anillos + peso.viscera + peso.caparazon,0.8113478573138616
3,adl,adulto ~ long.altura + peso.desenvainado + peso.caparazon,0.7979411060569787
3,adl,adulto ~ long.altura + peso.desenvainado + peso.viscera,0.8020110126885325
3,adl,adulto ~ long.altura + peso.total + peso.caparazon,0.798180512329423
3,adl,adulto ~ long.altura + peso.total + peso.desenvainado,0.8003351687814221
3,adl,adulto ~ long.altura + peso.total + peso.viscera,0.7998563562365334
3,adl,adulto ~ long.altura + peso.viscera + peso.caparazon,0.8010533875987551
3,adl,adulto ~ long.diametro + long.altura + peso.caparazon,0.7921953555183145
3,adl,adulto ~ long.diametro + long.altura + peso.desenvainado,0.7909983241560928
3,adl,adulto ~ long.diametro + long.altura + peso.total,0.7929135743356476
3,adl,adulto ~ long.diametro + long.altura + peso.viscera,0.7962652621498684
3,adl,adulto ~ long.diametro + peso.desenvainado + peso.caparazon,0.7926741680632032
3,adl,adulto ~ long.diametro + peso.desenvainado + peso.viscera,0.7972228872396456
3,adl,adulto ~ long.diametro + peso.total + peso.caparazon,0.7931529806080919
3,adl,adulto ~ long.diametro + peso.total + peso.desenvainado,0.7950682307876467
3,adl,adulto ~ long.diametro + peso.total + peso.viscera,0.793871199425425
